,案號,區域,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
0,第15案,屏東縣新埤鄉,1301,2812,4113,445,4558,9033,50.46%,14.4%
0,第15案,屏東縣枋寮鄉,3196,6773,9969,1214,11183,21394,52.27%,14.94%
0,第15案,屏東縣新園鄉,4787,9799,14586,1559,16145,30706,52.58%,15.59%
0,第15案,屏東縣崁頂鄉,2014,3865,5879,553,6432,12270,52.42%,16.41%
0,第15案,屏東縣林邊鄉,2763,5109,7872,849,8721,15691,55.58%,17.61%
0,第15案,屏東縣南州鄉,1618,2921,4539,476,5015,9479,52.91%,17.07%
0,第15案,屏東縣佳冬鄉,2520,4918,7438,988,8426,17063,49.38%,14.77%
0,第15案,屏東縣琉球鄉,1041,3387,4428,327,4755,10706,44.41%,9.72%
0,第15案,屏東縣車城鄉,1020,1844,2864,269,3133,7595,41.25%,13.43%
0,第15案,屏東縣滿州鄉,971,1913,2884,197,3081,7206,42.76%,13.47%
0,第15案,屏東縣枋山鄉,707,1563,2270,220,2490,4856,51.28%,14.56%
0,第15案,屏東縣三地門鄉,985,2381,3366,249,3615,6373,56.72%,15.46%
0,第15案,屏東縣霧臺鄉,433,1268,1701,108,1809,2950,61.32%,14.68%
0,第15案,屏東縣瑪家鄉,880,2505,3385,178,3563,5663,62.92%,15.54%
0,第15案,屏東縣泰武鄉,699,1915,2614,195,2809,4344,64.66%,16.09%
0,第15案,屏東縣來義鄉,822,2639,3461,271,3732,6257,59.65%,13.14%
0,第15案,屏東縣春日鄉,440,877,1317,43,1360,3923,34.67%,11.22%
0,第15案,屏東縣獅子鄉,525,1655,2180,93,2273,4230,53.74%,12.41%
0,第15案,屏東縣牡丹鄉,570,1137,1707,84,1791,4314,41.52%,13.21%
0,第15案,宜蘭縣,69188,130483,199671,14890,214561,386089,55.57%,17.92%
0,第15案,宜蘭縣宜蘭市,14997,27404,42401,2549,44950,79167,56.78%,18.94%
0,第15案,宜蘭縣羅東鎮,11312,19797,31109,2002,33111,57686,57.4%,19.61%
0,第15案,宜蘭縣蘇澳鎮,6130,11634,17764,1642,19406,34512,56.23%,17.76%
0,第15案,宜蘭縣頭城鎮,4332,8342,12674,1159,13833,25135,55.03%,17.23%
